220404-01:26:33 [INFO] -- 
220404-01:26:33 [INFO] -- 
220404-01:26:33 [INFO] -- ============================================================
220404-01:26:33 [INFO] -- SLCStarter: Application Starting...
220404-01:26:35 [INFO] -- BarcodeReaderDriver: starting...
220404-01:26:35 [INFO] -- TouchDisplayHandler: starting...
220404-01:26:35 [INFO] -- timer: starting...
220404-01:26:35 [INFO] -- LockerReaderDriver: starting...
220404-01:26:35 [INFO] -- OctopusCardReaderDriver: starting...
220404-01:26:35 [INFO] -- SLC: starting...
220404-01:26:35 [INFO] -- TouchDisplayHandler: loading fxml: TouchDisplayEmulator.fxml
220404-01:26:41 [INFO] -- Poll: TimesUp 29160 0
220404-01:26:41 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:26:41 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:26:41 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:26:41 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:26:47 [INFO] -- Poll: TimesUp 50840 0
220404-01:26:47 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:26:47 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:26:47 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:26:47 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:26:53 [INFO] -- Poll: TimesUp 57640 0
220404-01:26:53 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:26:53 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:26:53 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:26:53 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:26:59 [INFO] -- Poll: TimesUp 75147 0
220404-01:26:59 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:26:59 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:26:59 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:26:59 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:27:05 [INFO] -- Poll: TimesUp 60141 0
220404-01:27:05 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:27:05 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:27:05 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:27:05 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:27:06 [INFO] -- TouchDisplayHandler: update display -- MainMenu
220404-01:27:06 [INFO] -- TouchDisplayHandler: loading fxml: TouchDisplayMainMenu.fxml
220404-01:27:07 [INFO] -- BarcodeReaderDriver: Go Active
220404-01:27:11 [INFO] -- BarcodeReaderDriver: Go Active
220404-01:27:11 [INFO] -- Poll: TimesUp 13898 0
220404-01:27:11 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:27:11 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:27:11 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:27:11 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:27:17 [INFO] -- Poll: TimesUp 37452 0
